account_id,customer_id,branch_id,account_type,balance,opened_date,status
1,1,3,Current,226970.01,2017-01-12,Active
2,2,2,Current,301659.7,2024-09-30,Closed
3,3,5,Current,421694.14,2015-08-24,Closed
4,4,3,Fixed Deposit,368672.51,2025-06-22,Closed
5,5,2,Savings,105646.64,2017-11-18,Closed
6,6,3,Fixed Deposit,173301.5,2020-12-16,Closed
7,7,2,Fixed Deposit,325393.11,2021-01-05,Active
8,8,5,Fixed Deposit,347461.67,2016-12-13,Inactive
9,9,1,Current,281577.83,2021-03-21,Closed
10,10,5,Fixed Deposit,355351.69,2016-08-13,Closed
11,11,5,Current,438861.14,2022-04-10,Inactive
12,12,1,Fixed Deposit,54128.76,2019-02-28,Inactive
13,13,2,Savings,335456.84,2021-02-20,Active
14,14,3,Savings,491782.66,2017-07-15,Closed
15,15,3,Savings,419851.53,2021-09-28,Closed
16,16,3,Savings,377043.38,2019-05-28,Active
17,17,3,Current,52137.52,2021-05-26,Closed
18,18,5,Savings,371463.96,2019-06-21,Closed
19,19,4,Savings,255950.23,2024-11-17,Closed
20,20,3,Fixed Deposit,332582.29,2019-10-22,Inactive
21,21,4,Current,478394.28,2019-09-25,Closed
22,22,3,Fixed Deposit,27847.29,2023-11-10,Closed
23,23,3,Savings,310660.29,2015-08-27,Inactive
24,24,2,Fixed Deposit,352609.91,2019-09-23,Closed
25,25,3,Fixed Deposit,273760.95,2020-02-19,Closed
26,26,2,Fixed Deposit,482180.62,2024-10-27,Inactive
27,27,4,Savings,491743.21,2022-01-25,Active
28,28,2,Savings,367804.66,2021-09-17,Active
29,29,4,Savings,214825.4,2020-07-23,Closed
30,30,3,Savings,81303.5,2023-06-01,Inactive
31,31,1,Current,233699.34,2019-02-26,Active
32,32,1,Savings,464385.49,2023-12-03,Closed
33,33,1,Fixed Deposit,308188.73,2016-09-24,Closed
34,34,3,Current,395164.18,2019-04-13,Closed
35,35,3,Savings,392231.69,2018-12-20,Inactive
36,36,5,Savings,478536.87,2021-03-19,Closed
37,37,1,Fixed Deposit,80525.88,2022-11-07,Closed
38,38,5,Current,46880.83,2024-11-29,Active
39,39,2,Fixed Deposit,166609.87,2024-05-09,Inactive
40,40,3,Savings,475203.83,2025-06-02,Closed
41,41,5,Current,498318.91,2018-12-14,Closed
42,42,1,Savings,334800.3,2018-09-15,Inactive
43,43,2,Fixed Deposit,307236.85,2018-08-21,Closed
44,44,2,Savings,341593.13,2019-11-05,Inactive
45,45,4,Savings,193552.09,2025-01-21,Closed
46,46,3,Savings,455756.63,2020-09-04,Inactive
47,47,5,Fixed Deposit,223332.89,2019-01-10,Active
48,48,3,Fixed Deposit,97063.68,2020-01-22,Closed
49,49,1,Savings,84530.01,2016-07-04,Closed
50,50,5,Savings,313839.6,2019-10-13,Active
51,51,2,Fixed Deposit,212680.52,2018-11-07,Active
52,52,2,Fixed Deposit,414545.59,2024-04-06,Closed
53,53,4,Fixed Deposit,408560.42,2018-02-04,Active
54,54,2,Savings,230153.39,2020-04-03,Inactive
55,55,1,Savings,37550.77,2021-06-02,Active
56,56,3,Fixed Deposit,36150.6,2017-09-05,Active
57,57,3,Current,194628.27,2019-07-26,Closed
58,58,4,Current,158885.72,2021-04-19,Inactive
59,59,1,Fixed Deposit,3943.56,2024-04-17,Closed
60,60,5,Savings,378224.34,2024-01-19,Closed
61,61,1,Fixed Deposit,424277.37,2015-07-23,Inactive
62,62,5,Savings,145628.46,2021-11-24,Closed
63,63,3,Fixed Deposit,44166.11,2020-09-16,Inactive
64,64,4,Current,411239.06,2024-01-22,Active
65,65,4,Savings,267200.41,2020-07-28,Active
66,66,4,Fixed Deposit,148194.26,2020-12-25,Closed
67,67,2,Current,338967.23,2016-12-16,Closed
68,68,3,Savings,277208.57,2017-04-13,Closed
69,69,2,Savings,21844.8,2017-09-06,Closed
70,70,5,Current,269038.87,2023-06-12,Active
71,71,3,Savings,374400.0,2015-10-12,Closed
72,72,3,Savings,206914.59,2022-01-08,Closed
73,73,5,Savings,81316.22,2017-08-04,Active
74,74,5,Current,97968.78,2015-11-25,Active
75,75,5,Savings,425842.47,2017-08-24,Closed
76,76,4,Fixed Deposit,275282.64,2025-02-09,Inactive
77,77,1,Current,50003.0,2023-04-16,Closed
78,78,5,Current,475818.41,2022-03-24,Inactive
79,79,2,Fixed Deposit,328081.02,2021-01-20,Active
80,80,3,Fixed Deposit,35834.63,2025-01-31,Active
81,81,3,Current,225872.34,2016-08-08,Closed
82,82,3,Fixed Deposit,292500.8,2021-11-30,Closed
83,83,5,Current,404042.18,2025-03-26,Inactive
84,84,2,Savings,157294.18,2024-06-12,Active
85,85,4,Current,420214.92,2024-03-18,Active
86,86,3,Current,231961.34,2024-11-20,Inactive
87,87,3,Current,276284.24,2022-08-23,Active
88,88,5,Savings,421054.7,2018-08-27,Active
89,89,5,Savings,132354.09,2022-12-16,Closed
90,90,1,Fixed Deposit,38624.58,2016-05-11,Active
91,91,5,Fixed Deposit,16565.92,2017-04-12,Closed
92,92,5,Current,384830.93,2024-04-17,Active
93,93,1,Fixed Deposit,131047.54,2020-11-28,Closed
94,94,4,Fixed Deposit,387823.42,2019-02-21,Inactive
95,95,4,Savings,445827.33,2019-05-23,Closed
96,96,3,Savings,232885.87,2019-01-11,Closed
97,97,1,Current,182568.91,2018-08-09,Active
98,98,2,Fixed Deposit,342396.67,2022-06-16,Closed
99,99,2,Current,80451.99,2017-04-01,Closed
100,100,5,Fixed Deposit,436225.38,2022-01-17,Active
101,101,4,Current,21169.49,2023-10-21,Inactive
102,102,2,Savings,132914.2,2019-01-12,Active
103,103,1,Fixed Deposit,104180.26,2022-05-03,Inactive
104,104,4,Current,459033.07,2019-12-09,Active
105,105,1,Fixed Deposit,162711.48,2016-12-07,Closed
106,106,5,Fixed Deposit,414993.93,2023-10-03,Closed
107,107,3,Fixed Deposit,272630.68,2023-10-18,Active
108,108,4,Fixed Deposit,189880.74,2016-10-27,Closed
109,109,1,Fixed Deposit,126541.62,2020-09-03,Active
110,110,5,Current,177096.11,2024-05-12,Inactive
111,111,4,Current,443698.8,2019-02-28,Active
112,112,5,Savings,220509.45,2015-12-06,Active
113,113,1,Fixed Deposit,322095.02,2018-02-19,Active
114,114,2,Savings,79521.32,2023-04-13,Closed
115,115,1,Fixed Deposit,115942.82,2024-06-04,Inactive
