transaction_id,account_id,transaction_type,amount,transaction_date,remarks
1,1,Credit,27403.17,2022-10-24,Light maybe mind smile.
2,1,Credit,23750.65,2023-02-07,Pay my until budget.
3,1,Credit,22793.93,2022-08-22,Media current responsibility off go.
4,1,Debit,12319.43,2024-12-10,Thank wear fill reason so.
5,1,Credit,49164.19,2023-06-21,Wear difference evidence evidence arrive left.
6,1,Credit,41270.12,2023-05-13,General usually begin tough road.
7,1,Debit,14727.47,2024-10-09,Project improve attack say start center.
8,1,Credit,9264.99,2024-02-28,Continue you into too time.
9,1,Credit,4732.86,2022-09-05,Contain everything ahead size type off.
10,2,Credit,7289.13,2025-04-14,Perhaps him later risk college develop.
11,2,Credit,10812.22,2020-09-29,Strategy hot under draw lawyer soon whom affect.
12,2,Debit,37790.91,2021-02-20,Fill least south on grow outside.
13,2,Credit,47722.06,2021-12-04,Full never tree first beat throw matter.
14,2,Credit,29208.72,2023-09-07,Ground understand money science.
15,2,Debit,37121.2,2023-08-15,Although discuss hair statement.
16,2,Debit,39912.03,2021-09-05,Piece analysis address.
17,2,Debit,44176.77,2024-01-02,Until as page.
18,3,Credit,10491.38,2022-05-04,And leader offer lay consumer.
19,3,Credit,21091.25,2022-06-17,Lot affect prevent around significant with hour.
20,3,Debit,15858.73,2022-01-23,Pretty thus investment music.
21,3,Credit,46155.17,2020-12-26,Oil sense glass society.
22,3,Debit,20507.87,2024-09-24,Deal she economy event card PM street position.
23,3,Debit,30173.63,2025-01-28,Benefit family together boy power care board.
24,3,Debit,36037.98,2022-07-06,Improve sign arm natural put top.
25,3,Credit,48528.52,2024-07-05,Term stand recently.
26,4,Credit,13590.38,2021-12-19,Night image worker.
27,4,Debit,41375.35,2021-05-16,Benefit meet character imagine someone think less.
28,4,Debit,29258.87,2022-11-07,Mean say right child.
29,4,Debit,5686.14,2024-06-22,Story American east exist.
30,4,Credit,6657.52,2021-10-25,Chair cost today rise lawyer within training.
31,4,Credit,28791.13,2023-08-21,For about artist quality.
32,4,Credit,16051.49,2024-05-09,Court skill result rule ask capital baby.
33,4,Credit,8619.4,2021-05-01,Part including eye news toward avoid.
34,4,Debit,27070.58,2023-05-10,Investment catch your standard give.
35,4,Debit,49669.05,2022-12-18,Owner our current technology whether public though.
36,5,Debit,36652.09,2024-04-22,Industry message and life price.
37,5,Debit,12839.43,2020-12-22,Reflect wife improve thing while require join.
38,5,Debit,39579.07,2024-01-12,Thing consider allow particular.
39,5,Debit,6432.4,2020-07-17,Production face wife work officer some present along.
40,5,Debit,19030.52,2025-01-24,Its thus person really against stay.
41,5,Credit,45401.94,2023-01-09,Window any and talk food.
42,5,Debit,15666.88,2023-02-07,Wonder body personal.
43,5,Debit,1279.42,2020-10-20,Know institution candidate approach again everyone fly.
44,5,Credit,21972.27,2024-02-03,Student force majority reflect.
45,5,Credit,48838.36,2021-12-30,Ask century step window office.
46,6,Credit,24585.72,2024-03-17,Successful get act could music provide same someone.
47,6,Credit,4379.13,2024-07-15,Baby drop possible space fine.
48,6,Debit,2276.24,2021-05-19,Close couple doctor anything article senior major.
49,6,Debit,28606.9,2025-05-04,Condition age three space important free.
